experiment_name,dataset,role,architecture,epochs,batch_size,optimizer,learning_rate,weight_decay,dropout,depth,widen_factor,augment,mixup_alpha,label_smoothing,use_ema,test_time_augmentation,best_epoch,best_accuracy_seen_during_training,accuracy,precision,recall,f1,training_time_seconds,total_time_seconds,notes
cifar_residual_bf16,cifar,main,residual,140,512,adamw,0.0015,0.0005,0.08,,,True,0.15,0.08,False,False,137,0.9561,0.9561,0.9562116619495287,0.9561,0.9561357052426898,2214.006085000001,2218.538169899999,Main CNN run; 140 epochs is a long GPU run.
cifar_wrn28_8_adamw_ema_tta_bf16,cifar,ablation,wide_residual,180,384,adamw,0.0013,0.0005,0.1,28,8,True,0.1,0.08,True,True,173,0.96,0.9598,0.9603290530487723,0.9598000000000001,0.9599560145927913,5349.989250800005,5371.632785000009,Extra WideResNet run; stronger result but much slower.
