experiment_name,dataset,device,architecture,epochs,batch_size,optimizer,learning_rate,weight_decay,dropout,depth,widen_factor,augment,mixup_alpha,label_smoothing,use_ema,test_time_augmentation,best_epoch,best_accuracy_seen_during_training,accuracy,precision,recall,f1,training_time_seconds,total_time_seconds,plot_path
orl_cnn,orl,cuda,residual,40,16,adamw,0.001,0.0001,0.1,,,False,0.0,0.0,False,False,23,1.0,1.0,1.0,1.0,1.0,53.24881874400012,59.3685041409999,/content/dough/result/stage_3_result/orl_cnn_training_convergence.png
orl_small,orl,cuda,residual,40,16,adamw,0.001,0.0001,0.1,,,False,0.0,0.0,False,False,27,0.925,0.925,0.8875,0.925,0.9,167.21435853499997,167.322277494,/content/dough/result/stage_3_result/orl_small_training_convergence.png
orl_no_dropout,orl,cuda,residual,40,16,adamw,0.001,0.0001,0.0,,,False,0.0,0.0,False,False,20,1.0,1.0,1.0,1.0,1.0,214.89471270799982,215.02517311700012,/content/dough/result/stage_3_result/orl_no_dropout_training_convergence.png
