experiment_name,device,use_bf16_autocast,hidden_dims,dropout_rate,batch_size,max_epoch,accuracy,precision,recall,f1,training_time_seconds,total_time_seconds,prediction_path,plot_path
baseline_cuda,cuda,False,256-128,0.0,256,20,0.978,0.977805226320719,0.9776949445527334,0.9776679725821331,24.18494109999665,33.423500999997486,"C:\Users\ocaro\OneDrive - University of California, Davis\Spring 2026\ECS 170 - Artificial Intelligence\Project\dough\result\stage_2_result\baseline_cuda_prediction_result_1","C:\Users\ocaro\OneDrive - University of California, Davis\Spring 2026\ECS 170 - Artificial Intelligence\Project\dough\result\stage_2_result\baseline_cuda_training_convergence.png"
ablation_a_wider_dropout,cuda,False,512-256-128,0.2,256,20,0.9834,0.9832809083446877,0.9832963273441202,0.9832529443026962,27.620367699997587,34.6348923000005,"C:\Users\ocaro\OneDrive - University of California, Davis\Spring 2026\ECS 170 - Artificial Intelligence\Project\dough\result\stage_2_result\ablation_a_wider_dropout_prediction_result_1","C:\Users\ocaro\OneDrive - University of California, Davis\Spring 2026\ECS 170 - Artificial Intelligence\Project\dough\result\stage_2_result\ablation_a_wider_dropout_training_convergence.png"
ablation_c_bf16_autocast,cuda,True,256-128,0.0,256,20,0.9784,0.9783901743216761,0.9782731429432806,0.978261181300289,23.151612000001478,30.23176489999969,"C:\Users\ocaro\OneDrive - University of California, Davis\Spring 2026\ECS 170 - Artificial Intelligence\Project\dough\result\stage_2_result\ablation_c_bf16_autocast_prediction_result_1","C:\Users\ocaro\OneDrive - University of California, Davis\Spring 2026\ECS 170 - Artificial Intelligence\Project\dough\result\stage_2_result\ablation_c_bf16_autocast_training_convergence.png"
baseline_cpu,cpu,False,256-128,0.0,256,20,0.9798,0.9797489994309014,0.9796094738843772,0.9796311834891915,21.25930089999747,27.61244910000096,"C:\Users\ocaro\OneDrive - University of California, Davis\Spring 2026\ECS 170 - Artificial Intelligence\Project\dough\result\stage_2_result\baseline_cpu_prediction_result_1","C:\Users\ocaro\OneDrive - University of California, Davis\Spring 2026\ECS 170 - Artificial Intelligence\Project\dough\result\stage_2_result\baseline_cpu_training_convergence.png"
