experiment,cell_type,epochs,best_epoch,accuracy,precision,recall,f1,best_accuracy,training_time,total_time,embedding_dim,hidden_dim,num_layers,dropout,bidirectional,max_seq_length,learning_rate,max_train_per_class,max_test_per_class
cls_gru_ab_base,gru,5,5,0.841,0.8183,0.8767,0.8465,0.841,84.9,122.2,128,128,2,0.3,True,250,0.001,4000,1500
cls_gru_hidden256,gru,5,4,0.798,0.734,0.9347,0.8223,0.8083,79.7,85.4,128,256,2,0.3,True,250,0.001,4000,1500
cls_gru_embed64,gru,5,5,0.8057,0.8455,0.748,0.7938,0.8057,84.3,91.1,64,128,2,0.3,True,250,0.001,4000,1500
cls_gru_dropout01,gru,5,4,0.8177,0.8049,0.8387,0.8214,0.823,86.5,93.6,128,128,2,0.1,True,250,0.001,4000,1500
cls_gru_no_bidir,gru,5,5,0.8357,0.8042,0.8873,0.8437,0.8357,50.3,56.1,128,128,2,0.3,False,250,0.001,4000,1500
cls_gru_lr0005,gru,5,4,0.7533,0.8512,0.614,0.7134,0.76,84.4,90.9,128,128,2,0.3,True,250,0.0005,4000,1500
